date,site,Top_Plate_ID,plate.num,quad,time,photo.num,DS.1,DS.2,DS.3,DS.4,DS.5,DS.6,DS.7,DS.8,DS.9,DS.10,DS.11,DS.12,DS.13,DS.14,DS.15,DS.16,DS.17,DS.18,DS.19,DS.20,DS.21,DS.22,DS.23,DS.24,DS.25
20210804,Varari,V3,203,C,13:26,100-2612,Turbinaria ornata,bare rock,Amansia rhodantha,turf,turf,Turbinaria ornata,Valonia,turf,turf,turf,Turbinaria ornata,Valonia,turf,turf,turf,Turbinaria ornata,Turbinaria ornata,Cyphastrea microphthalma,turf,turf,Turbinaria ornata,turf,turf,sand,bare rock
20210804,Varari,V3,203,D,13:38,100-2644,turf,turf,turf,turf,turf,turf,turf,Lithophyllum kotschyanum,Lithophyllum kotschyanum,turf,bare rock,bare rock,bare rock,Pocillopora acuta,Pocillopora acuta,sand,sand,turf,Pocillopora acuta,Pocillopora acuta,turf,turf,sand,turf,turf
20210804,Varari,V4,204,A,17:18,2974,Porites rus,Porites rus,turf,turf,turf,Porites rus,Porites rus,Porites rus,Turbinaria ornata,turf,Porites rus,Porites rus,turf,Turbinaria ornata,turf,Porites rus,turf,turf,Turbinaria ornata,Valonia,turf,Turbinaria ornata,Turbinaria ornata,Turbinaria ornata,Turbinaria ornata
20210804,Varari,V4,204,B,17:26,2999,Lithophyllum kotschyanum,Turbinaria ornata,Turbinaria ornata,Turbinaria ornata,turf,Pocillopora acuta,turf,turf,Turbinaria ornata,turf,Turbinaria ornata,turf,turf,turf,Lobophora variegata,turf,Turbinaria ornata,Turbinaria ornata,Lobophora variegata,Dictyota,Turbinaria ornata,Turbinaria ornata,sand,Halimeda,sand
20210804,Varari,V4,204,C,17:37,3031,turf,Turbinaria ornata,Turbinaria ornata,Turbinaria ornata,turf,Turbinaria ornata,turf,turf,turf,Turbinaria ornata,Turbinaria ornata,turf,turf,turf,Turbinaria ornata,bare rock,turf,turf,turf,turf,turf,turf,turf,Halimeda,turf
20210804,Varari,V4,204,D,17:44,3057,turf,turf,Turbinaria ornata,Turbinaria ornata,sand,turf,bare rock,bare rock,Turbinaria ornata,Turbinaria ornata,turf,turf,turf,Turbinaria ornata,Dictyota,turf,turf,Turbinaria ornata,Turbinaria ornata,Dictyota,turf,Turbinaria ornata,Turbinaria ornata,Montipora_1,Turbinaria ornata
20210804,Varari,V6,206,A,15:40,100-2724,Porites rus,Porites rus,Turbinaria ornata,bare rock,turf,Porites rus,Turbinaria ornata,Porites rus,turf,Turbinaria ornata,Valonia,Valonia,sand,Turbinaria ornata,Turbinaria ornata,Valonia,Sargassum,Halimeda,Dictyota,Halimeda,Turbinaria ornata,Caulerpa,Turbinaria ornata,Dictyota,turf
20210804,Varari,V6,206,B,15:55,100-2772,sand,sand,sand,Turbinaria ornata,bare rock,sand,sand,sand,bare rock,CCA_2,Porites rus,sand,sand,sand,sand,sand,turf,sand,sand,sand,turf,turf,sand,Porites rus,sand
20210804,Varari,V6,206,C,16:01,2783,Turbinaria ornata,Valonia,Turbinaria ornata,Dictyota,turf,Turbinaria ornata,Turbinaria ornata,sand,sand,Porites rus,Turbinaria ornata,Turbinaria ornata,Halimeda,Porites rus,Porites rus,bare rock,Turbinaria ornata,Turbinaria ornata,Porites rus,Porites rus,Porites rus,Padina boryana,turf,Turbinaria ornata,turf
20210804,Varari,V6,206,D,16:16,2822,turf,sand,sand,sand,sand,sand,sand,sand,sand,sand,sand,sand,turf,sand,sand,Porites rus,Porites rus,Porites rus,sand,sand,Porites rus,Porites rus,Porites rus,Porites rus,Porites rus
20210816,Varari,V7,207,A,13:21,4009,Turbinaria ornata,Turbinaria ornata,Turbinaria ornata,Porites rus,Dictyota,Turbinaria ornata,Turbinaria ornata,Turbinaria ornata,Halimeda,Halimeda,Turbinaria ornata,Turbinaria ornata,Turbinaria ornata,Porites rus,Porites rus,Turbinaria ornata,Turbinaria ornata,Turbinaria ornata,Halimeda,turf,Turbinaria ornata,Turbinaria ornata,Turbinaria ornata,turf,turf
20210816,Varari,V7,207,B,13:56,4040,Halimeda,Halimeda,Halimeda,Halimeda,Turbinaria ornata,Halimeda,Halimeda,Halimeda,Halimeda,Turbinaria ornata,Halimeda,Halimeda,Halimeda,Boodlea,Halimeda,Lithophyllum kotschyanum,Halimeda,Halimeda,Dictyosphaeria versluysii,Dictyosphaeria versluysii,turf,Boodlea,Halimeda,Halimeda,Dictyosphaeria versluysii
20210816,Varari,V7,207,C,14:04,4047,Turbinaria ornata,Turbinaria ornata,sand,turf,turf,Lobophora variegata,Padina boryana,Porites lobata,Turbinaria ornata,Turbinaria ornata,sand,Halimeda,sand,Turbinaria ornata,Galaxaura fasciculata,Sponge_1,Halimeda,sand,sand,sand,Sponge_1,Porites lobata,Lobophora variegata,sand,sand
20210816,Varari,V7,207,D,14:16,4078,turf,turf,Halimeda,Halimeda,Turbinaria ornata,Turbinaria ornata,bare rock,Halimeda,Halimeda,Turbinaria ornata,bare rock,grassy turf,grassy turf,Halimeda,Halimeda,Porites lutea,Porites lobata,Porites lobata,sand,sand,sand,sand,sand,Lithophyllum kotschyanum,sand
20210811,Varari,V8,208,A,15:27,"3652, 3676-3677",sand,sand,Pocillopora acuta,Pocillopora acuta,Lithophyllum kotschyanum,sand,Pocillopora acuta,Pocillopora acuta,Pocillopora acuta,Pocillopora acuta,sand,Pocillopora acuta,grey sponge encrusting,grassy turf,grassy turf,sand,Pocillopora acuta,grassy turf,turf,grassy turf,sand,Turbinaria ornata,grassy turf,grassy turf,turf
20210811,Varari,V8,208,B,15:55,3657,Porites rus,Porites rus,sand,sand,sand,anemone,anemone,Lithophyllum kotschyanum,sand,sand,anemone,anemone,bare rock,sand,sand,anemone,anemone,bare rock,Amansia rhodantha,Lithophyllum kotschyanum,grassy turf,turf (branchy?),turf,Galaxaura fasciculata,sand
20210810,Varari,V9,209,A,12:28,3494,turf,Porites rus,Porites rus,Porites rus,Porites rus,turf,Porites rus,Porites rus,Porites rus,Porites rus,Lithophyllum kotschyanum,Porites rus,Porites rus,Porites rus,Porites rus,Lithophyllum kotschyanum,turf,Valonia,Lithophyllum kotschyanum,turf,Lithophyllum kotschyanum,turf,turf,Lithophyllum kotschyanum,turf
20210810,Varari,V9,209,B,12:47,3513,Porites rus,Porites rus,Porites rus,Amansia rhodantha,Amansia rhodantha,Porites rus,Porites rus,Porites rus,sand,Amansia rhodantha,Halimeda,Amansia rhodantha,sand,sand,Valonia,Lithophyllum kotschyanum,sand,sand,sand,sand,Lithophyllum kotschyanum,sand,sand,sand,sand
20210810,Varari,V9,209,C,12:58,3522,Turbinaria ornata,Lithophyllum kotschyanum,Lithophyllum kotschyanum,turf,turf,Turbinaria ornata,Turbinaria ornata,Porites rus,Porites rus,Porites rus,sand,Porites rus,Porites rus,Porites rus,Porites rus,sand,Porites rus,Porites rus,Porites rus,Porites rus,sand,Turbinaria ornata,Turbinaria ornata,Porites rus,Porites rus
20210810,Varari,V9,209,D,13:10,3540,turf,sand,sand,sand,sand,Porites rus,Porites rus,sand,sand,turf,Porites rus,Halimeda,Halimeda,Halimeda,turf,Halimeda,Halimeda,Halimeda,Halimeda,Halimeda,Halimeda,Porites rus,Porites rus,Halimeda,Halimeda
20210817,Varari,V10,210,A,10:48,4125,Pocillopora acuta,Diplosoma simile (ascidian),grassy turf,grassy turf,Pocillopora acuta,Diplosoma simile (ascidian),Diplosoma simile (ascidian),grassy turf,grey sponge encrusting,grey sponge encrusting,Turbinaria ornata,grassy turf,grassy turf,Pocillopora acuta,grey sponge encrusting,turf,Pocillopora acuta,turf,turf,grassy turf,grassy turf,grassy turf,grassy turf,grey sponge encrusting,grassy turf
20210817,Varari,V10,210,B,11:07,4168,turf,Pocillopora eydouxi,Pocillopora eydouxi,Pocillopora eydouxi,Pocillopora eydouxi,Pocillopora eydouxi,Pocillopora eydouxi,Pocillopora eydouxi,Pocillopora acuta,turf,turf,grassy turf,grassy turf,Pocillopora acuta,Pocillopora acuta,grassy turf,grassy turf,grassy turf,grassy turf,grassy turf,grassy turf,grassy turf,turf,turf,turf
20210811,Varari,V13,213,A,17:05,3680,sand,sand,Montipora_2,Montipora_2,Montipora_2,sand,sand,sand,Montipora_2,Montipora_2,Lithophyllum kotschyanum,Halimeda,Halimeda,grassy turf,grassy turf,Valonia,grassy turf,Amansia rhodantha,Halimeda,Halimeda,Valonia,Turbinaria ornata,Turbinaria ornata,Halimeda,Halimeda
20210811,Varari,V13,213,B,17:23,3713,Montipora_2,Montipora_2,Turbinaria ornata,Sponge_2,Turbinaria ornata,Turbinaria ornata,Montipora_2,Turbinaria ornata,Turbinaria ornata,Turbinaria ornata,Turbinaria ornata,Turbinaria ornata,Halimeda,Turbinaria ornata,Lithophyllum kotschyanum,Turbinaria ornata,Turbinaria ornata,Sponge_2,Sponge_2,Turbinaria ornata,grassy turf,grassy turf,bare rock,Lithophyllum kotschyanum,Lithophyllum kotschyanum
20210817,Varari,V13,213,C,10:13,4100,turf,Lithophyllum kotschyanum,turf,turf,grassy turf,turf,Turbinaria ornata,Turbinaria ornata,grassy turf,grassy turf,grassy turf,Turbinaria ornata,Turbinaria ornata,grassy turf,grassy turf,grassy turf,Turbinaria ornata,grassy turf,grassy turf,grassy turf,Valonia,Turbinaria ornata,Turbinaria ornata,Turbinaria ornata,grassy turf
20210817,Varari,V13,213,D,10:28,4107,bare rock,Amansia rhodantha,turf,Lithophyllum kotschyanum,Lithophyllum kotschyanum,Halimeda,Turbinaria ornata,Turbinaria ornata,Lithophyllum kotschyanum,sand,Dictyoceratida (sponge),Lithophyllum kotschyanum,Turbinaria ornata,sand,sand,Dictyoceratida (sponge),Turbinaria ornata,Valonia,sand,sand,Dictyoceratida (sponge),sand,sand,sand,sand
20210810,Varari,V14,214,A,10:11,3358,Amansia rhodantha,sand,sand,sand,sand,Halimeda,sand,sand,sand,sand,sand,sand,sand,sand,sand,sand,Lobophora variegata,sand,bare rock,sand,bare rock,Halimeda,sand,Padina boryana,Lobophora variegata
20210810,Varari,V14,214,B,10:21,3378,Turbinaria ornata,Turbinaria ornata,Turbinaria ornata,Halimeda,Padina boryana,Turbinaria ornata,Turbinaria ornata,Turbinaria ornata,Lithophyllum kotschyanum,Padina boryana,sand,Turbinaria ornata,sand,Halimeda,Padina boryana,Lobophora variegata,Lobophora variegata,sand,sand,sand,Padina boryana,Lobophora variegata,sand,sand,sand
20210810,Varari,V14,214,C,10:29,3390,Padina boryana,Halimeda,Halimeda,Dictyota,Dictyota,Dictyota,Halimeda,sand,Halimeda,sand,Halimeda,Halimeda,sand,Padina boryana,Padina boryana,Halimeda,Halimeda,Halimeda,Padina boryana,Padina boryana,Halimeda,Amansia rhodantha,Amansia rhodantha,sand,sand
20210810,Varari,V14,214,D,10:40,3408,Amansia rhodantha,Amansia rhodantha,sand,sand,sand,Amansia rhodantha,Amansia rhodantha,sand,sand,sand,sand,sand,sand,sand,sand,Halimeda,Halimeda,sand,sand,sand,sand,sand,Padina boryana,Padina boryana,Padina boryana
20210804,Varari,V15,215,A,16:23,2839,turf,turf,Porites rus,turf,turf,Porites rus,Porites rus,Turbinaria ornata,Turbinaria ornata,turf,Pocillopora acuta,turf,Discosoma,turf,turf,turf,Turbinaria ornata,turf,turf,turf,Turbinaria ornata,turf,turf,Pocillopora acuta,turf
20210804,Varari,V15,215,B,16:39,2878,Porites rus,Porites rus,turf,bare rock,Porites rus,turf,turf,turf,turf,bare rock,Discosoma,Amansia rhodantha,turf,turf,bare rock,turf,Porites rus,turf,turf,Porites rus,Porites rus,turf,Galaxaura fasciculata,turf,turf
20210804,Varari,V15,215,C,16:50,2898,Leptastrea transversa,turf,turf,turf,turf,turf,turf,turf,Porites lutea,turf,turf,turf,turf,turf,turf,Discosoma,turf,turf,turf,Pocillopora acuta,turf,turf,turf,Porites rus,Porites rus
20210804,Varari,V15,215,D,17:03,2943,turf,turf,turf,turf,Turbinaria ornata,turf,turf,turf,turf,turf,turf,turf,turf,Galaxaura_2,turf,Porites rus,turf,turf,turf,turf,Porites rus,turf,turf,turf,Pocillopora acuta
20210804,Varari,V16,216,A,13:57,100-2699,Turbinaria ornata,sand,Porites lobata,bare rock,bare rock,sand,sand,sand,Porites lobata,bare rock,sand,sand,Lithophyllum kotschyanum,bare rock,bare rock,Turbinaria ornata,bare rock,Lithophyllum kotschyanum,Turbinaria ornata,bare rock,bare rock,bare rock,Turbinaria ornata,bare rock,bare rock
20210804,Varari,V16,216,B,14:05,100-2708,turf,sand,sand,bare rock,sand,bare rock,bare rock,sand,sand,sand,bare rock,turf,turf,sand,sand,Pocillopora acuta,bare rock,turf,sand,sand,bare rock,bare rock,turf,sand,sand
20210804,Varari,V16,216,C,14:10,100-2711,sand,sand,Porites lobata,turf,turf,sand,Porites lobata,Porites lobata,turf,sand,sand,Porites lobata,Porites lobata,turf,turf,sand,sand,Porites lobata,Porites lobata,Porites lobata,Turbinaria ornata,sand,bare rock,Porites lobata,Porites lobata
20210804,Varari,V16,216,D,14:14,100-2713,bare rock,bare rock,bare rock,sand,sand,turf,turf,turf,sand,sand,Porites lobata,Porites lobata,turf,sand,sand,Porites lobata,Montipora_2,Turbinaria ornata,Montipora_2,Montipora_2,sand,Montipora_2,Montipora_2,turf,sand
20210810,Varari,V17,217,A,10:52,3414,sand,sand,sand,sand,sand,sand,turf,sand,sand,sand,Sargassum,sand,sand,sand,sand,Padina boryana,sand,sand,Padina boryana,Halimeda,turf,Dictyota,Halimeda,turf,Padina boryana
20210810,Varari,V17,217,B,11:00,3420,bare rock,Padina boryana,sand,Padina boryana,sand,Padina boryana,Halimeda,turf,bare rock,sand,CCA_2,Turbinaria ornata,turf,Turbinaria ornata,sand,CCA_2,turf,turf,turf,turf,turf,turf,turf,turf,sand
20210810,Varari,V17,217,C,11:15,3438,sand,Dictyoceratida (sponge),turf,turf,Padina boryana,Lobophora variegata,Dictyoceratida (sponge),Dictyoceratida (sponge),turf,Padina boryana,Sargassum,Padina boryana,Turbinaria ornata,Dictyoceratida (sponge),Dictyoceratida (sponge),Turbinaria ornata,Turbinaria ornata,Turbinaria ornata,Turbinaria ornata,Dictyoceratida (sponge),sand,Turbinaria ornata,Turbinaria ornata,Turbinaria ornata,Padina boryana
20210810,Varari,V17,217,D,11:30,3458,Lobophora variegata,Lobophora variegata,Lobophora variegata,sand,sand,Padina boryana,Lobophora variegata,Padina boryana,Padina boryana,sand,Padina boryana,Padina boryana,turf,Padina boryana,sand,Sargassum,Padina boryana,Turbinaria ornata,sand,sand,Lithophyllum kotschyanum,sand,sand,sand,sand
20210811,Varari,V18,218,A,14:33,3625,Pocillopora acuta,Pocillopora acuta,bare rock,grassy turf,grassy turf,Pocillopora acuta,Pocillopora acuta,grassy turf,grassy turf,grassy turf,Pocillopora acuta,Pocillopora acuta,grey sponge encrusting,Dictyoceratida (sponge),Pocillopora acuta,Pocillopora acuta,Pocillopora acuta,grey sponge encrusting,grassy turf,Dictyoceratida (sponge),Pocillopora acuta,Pocillopora acuta,Pocillopora acuta,grassy turf,Dictyoceratida (sponge)
20210811,Varari,V18,218,B,14:46,3628,grassy turf,grassy turf,grassy turf,grassy turf,grassy turf,grassy turf,grassy turf,Turbinaria ornata,grassy turf,Turbinaria ornata,Dictyoceratida (sponge),Pocillopora acuta,Turbinaria ornata,Turbinaria ornata,Turbinaria ornata,grey sponge encrusting,grassy turf,grassy turf,Discosoma,Turbinaria ornata,grey sponge encrusting,grassy turf,Discosoma,grassy turf,Turbinaria ornata
20210811,Varari,V18,218,C,14:55,"3638, 3649-3651",grassy turf,Pocillopora acuta,grassy turf,grassy turf,grassy turf,sand,sand,grassy turf,grassy turf,turf,turf,sand,Turbinaria ornata,Turbinaria ornata,grey sponge encrusting,grassy turf,sand,Turbinaria ornata,turf,grey sponge encrusting,Caulerpa racemosa,CCA_1,bare rock,Galaxaura fasciculata,Porites rus
20210811,Varari,V18,218,D,15:11,3640,grassy turf,grassy turf,grassy turf,grassy turf,Turbinaria ornata,grey sponge encrusting,grassy turf,CCA_1,grassy turf,grey sponge encrusting,grey sponge encrusting,green_algae_1,grey sponge encrusting,Lithophyllum kotschyanum,grassy turf,grassy turf,grassy turf,grassy turf,Lithophyllum kotschyanum,grassy turf,Porites rus,turf,cushion star,cushion star,grassy turf
20210810,Varari,V20,220,A,9:28,3323,sand,sand,sand,Turbinaria ornata,Porites lobata,sand,sand,sand,Turbinaria ornata,Porites lobata,sand,sand,sand,Halimeda,Porites lobata,sand,sand,sand,Porites lobata,Porites lobata,sand,sand,sand,Turbinaria ornata,Turbinaria ornata
20210810,Varari,V20,220,B,9:41,3327,Turbinaria ornata,Turbinaria ornata,Porites lobata,Porites lobata,Porites lobata,Porites lobata,Porites lobata,Porites lobata,Galaxaura fasciculata,Porites lobata,Porites lobata,Porites lobata,Porites lobata,Porites lobata,Porites lobata,Turbinaria ornata,Porites lobata,Porites lobata,Porites lobata,Porites lobata,Lobophora variegata,Porites lobata,Porites lobata,sand,Padina boryana
20210810,Varari,V20,220,C,8:54,3338,sand,sand,sand,Turbinaria ornata,bare rock,sand,sand,sand,sand,Amansia rhodantha,sand,sand,sand,sand,sand,Padina boryana,sand,sand,sand,sand,Padina boryana,sand,sand,sand,sand
20210810,Varari,V20,220,D,10:03,3349,Amansia rhodantha,Turbinaria ornata,sand,sand,sand,bare rock,sand,sand,sand,sand,sand,sand,sand,sand,sand,sand,sand,sand,sand,sand,sand,sand,sand,sand,sand
