date,site,Top_Plate_ID,plate.num,quad,time,photo.num,Sub.1,Sub.2,Sub.3,Sub.4,Sub.5,Sub.6,Sub.7,Sub.8,Sub.9,Sub.10,Sub.11,Sub.12,Sub.13,Sub.14,Sub.15,Sub.16,Sub.17,Sub.18,Sub.19,Sub.20,Sub.21,Sub.22,Sub.23,Sub.24,Sub.25
20210804,Varari,V4,204,macroalgae,17:18,2974,stony coral,stony coral,turf,turf,turf,stony coral,stony coral,stony coral,macroalgae,turf,stony coral,stony coral,turf,macroalgae,turf,stony coral,turf,turf,macroalgae,photo?,turf,macroalgae,macroalgae,macroalgae,macroalgae
20210804,Varari,V4,204,B,17:26,2979,CCA,macroalgae,macroalgae,macroalgae,turf,stony coral,turf,turf,macroalgae,turf,macroalgae,turf,turf,turf,sponge,turf,macroalgae,macroalgae,sponge,macroalgae,macroalgae,macroalgae,sand,macroalgae,sand
20210804,Varari,V4,204,C,17:37,3031,turf,macroalgae,macroalgae,macroalgae,turf,macroalgae,turf,turf,turf,macroalgae,macroalgae,turf,turf,turf,macroalgae,bare rock,turf,turf,turf,turf,turf,turf,turf,macroalgae,turf
20210804,Varari,V4,204,D,17:44,3057,turf,turf,macroalgae,macroalgae,sand,turf,bare rock,bare rock,macroalgae,macroalgae,turf,turf,turf,macroalgae,macroalgae,turf,turf,macroalgae,macroalgae,macroalgae,turf,macroalgae,macroalgae,photo?,macroalgae
20210804,Varari,V6,206,macroalgae,15:40,100-2724,stony coral,stony coral,macroalgae,bare rock,turf,stony coral,macroalgae,stony coral,turf,macroalgae,macroalgae,macroalgae,sand,macroalgae,macroalgae,macroalgae,macroalgae,macroalgae,macroalgae,macroalgae,macroalgae,macroalgae,macroalgae,macroalgae,turf
20210804,Varari,V6,206,B,15:55,100-2772,sand,sand,sand,macroalgae,bare rock,sand,sand,sand,bare rock,bare rock,stony coral,sand,sand,sand,sand,sand,turf,sand,sand,sand,turf,turf,sand,stony coral,sand
20210804,Varari,V6,206,C,16:01,2783,macroalgae,macroalgae,macroalgae,macroalgae,turf,macroalgae,macroalgae,sand,sand,stony coral,macroalgae,macroalgae,macroalgae,stony coral,stony coral,bare rock,macroalgae,macroalgae,stony coral,stony coral,stony coral,macroalgae,turf,macroalgae,turf
20210804,Varari,V6,206,D,16:16,2822,turf,sand,sand,sand,sand,sand,sand,sand,sand,sand,sand,sand,turf,sand,sand,stony coral,stony coral,stony coral,sand,sand,stony coral,stony coral,stony coral,stony coral,stony coral
20210816,Varari,V7,207,macroalgae,13:21,4009,macroalgae,macroalgae,macroalgae,stony coral,macroalgae,sand,macroalgae,macroalgae,macroalgae,macroalgae,macroalgae,macroalgae,macroalgae,sand,sand,macroalgae,macroalgae,macroalgae,macroalgae,turf,macroalgae,macroalgae,sand,turf,turf
20210816,Varari,V7,207,B,13:56,4040,macroalgae,macroalgae,sand,sand,macroalgae,macroalgae,macroalgae,macroalgae,sand,macroalgae,macroalgae,macroalgae,macroalgae,sand,sand,bare rock,macroalgae,macroalgae,sand,macroalgae,turf,macroalgae,macroalgae,sand,macroalgae
20210816,Varari,V7,207,C,14:04,4047,sand,sand,sand,turf,turf,macroalgae,sand,stony coral,macroalgae,macroalgae,sand,sand,sand,macroalgae,macroalgae,CCA,sand,sand,sand,sand,CCA,stony coral,sand,sand,sand
20210816,Varari,V7,207,D,14:16,4078,turf,turf,macroalgae,macroalgae,macroalgae,macroalgae,bare rock,macroalgae,macroalgae,macroalgae,bare rock,turf,turf,macroalgae,sand,sand,stony coral,sand,sand,sand,sand,sand,sand,sand,sand
20210811,Varari,V8,208,macroalgae,15:27,"3652, 3676-3677",sand,sand,stony coral,stony coral,CCA,sand,stony coral,stony coral,stony coral,stony coral,sand,stony coral,stony coral,turf,turf,sand,stony coral,turf,turf,turf,sand,macroalgae,turf,turf,turf
20210811,Varari,V8,208,B,15:55,3657,stony coral,stony coral,sand,sand,sand,anemone,anemone,CCA,sand,sand,anemone,anemone,bare rock,sand,sand,anemone,anemone,bare rock,bare rock,sand,turf,turf,turf,bare rock,sand
20210810,Varari,V9,209,macroalgae,12:28,3494,turf,stony coral,stony coral,stony coral,stony coral,turf,stony coral,stony coral,stony coral,stony coral,macroalgae,turf,turf,stony coral,turf,CCA,turf,turf,turf,turf,CCA,turf,turf,turf,turf
20210810,Varari,V9,209,B,12:47,3513,stony coral,stony coral,stony coral,sand,macroalgae,stony coral,stony coral,stony coral,turf,macroalgae,sand,macroalgae,sand,sand,turf,macroalgae,sand,sand,sand,sand,CCA,sand,sand,sand,sand
20210810,Varari,V9,209,C,12:58,3522,macroalgae,CCA,CCA,macroalgae,turf,macroalgae,macroalgae,stony coral,stony coral,stony coral,sand,stony coral,stony coral,stony coral,stony coral,sand,stony coral,stony coral,stony coral,stony coral,sand,macroalgae,macroalgae,stony coral,stony coral
20210810,Varari,V9,209,D,13:10,3540,turf,sand,sand,sand,sand,stony coral,sand,sand,sand,turf,stony coral,macroalgae,sand,sand,turf,macroalgae,macroalgae,macroalgae,macroalgae,macroalgae,macroalgae,stony coral,stony coral,macroalgae,macroalgae
20210817,Varari,V10,210,macroalgae,10:48,4125,stony coral,sponge,turf,turf,stony coral,sponge,sponge,turf,sponge,sponge,macroalgae,turf,turf,stony coral,sponge,turf,stony coral,turf,turf,turf,turf,turf,turf,sponge,turf
20210817,Varari,V10,210,B,11:07,4168,turf,stony coral,stony coral,stony coral,stony coral,stony coral,stony coral,stony coral,stony coral,turf,turf,turf,turf,stony coral,stony coral,turf,turf,turf,turf,turf,turf,turf,turf,turf,turf
20210811,Varari,V13,213,macroalgae,17:05,3680,sand,sand,stony coral,stony coral,stony coral,sand,sand,sand,stony coral,stony coral,sand,macroalgae,macroalgae,turf,turf,macroalgae,turf,macroalgae,macroalgae,macroalgae,macroalgae,macroalgae,macroalgae,macroalgae,macroalgae
20210811,Varari,V13,213,B,17:23,3713,stony coral,stony coral,macroalgae,CCA,macroalgae,macroalgae,stony coral,macroalgae,macroalgae,macroalgae,macroalgae,macroalgae,macroalgae,macroalgae,sand,macroalgae,macroalgae,CCA,CCA,sand,turf,turf,bare rock,CCA,CCA
20210817,Varari,V13,213,C,10:13,4100,turf,CCA,turf,turf,turf,turf,macroalgae,macroalgae,turf,turf,turf,macroalgae,macroalgae,turf,turf,turf,macroalgae,turf,turf,turf,macroalgae,macroalgae,macroalgae,macroalgae,turf
20210817,Varari,V13,213,D,10:28,4107,bare rock,macroalgae,turf,CCA,CCA,macroalgae,macroalgae,macroalgae,CCA,sand,sponge,CCA,macroalgae,sand,sand,sponge,macroalgae,macroalgae,sand,sand,sponge,sand,sand,sand,sand
20210810,Varari,V14,214,macroalgae,10:11,3358,macroalgae,sand,sand,sand,sand,macroalgae,macroalgae,sand,sand,sand,sand,sand,sand,sand,sand,sand,CCA,sand,bare rock,sand,bare rock,sand,sand,macroalgae,macroalgae
20210810,Varari,V14,214,B,10:21,3378,macroalgae,macroalgae,macroalgae,macroalgae,macroalgae,macroalgae,macroalgae,macroalgae,CCA,macroalgae,sand,macroalgae,sand,sand,macroalgae,macroalgae,macroalgae,sand,sand,sand,macroalgae,macroalgae,sand,sand,sand
20210810,Varari,V14,214,C,10:29,3390,macroalgae,macroalgae,sand,sand,macroalgae,macroalgae,macroalgae,sand,macroalgae,sand,macroalgae,macroalgae,sand,macroalgae,macroalgae,macroalgae,macroalgae,sand,macroalgae,macroalgae,macroalgae,macroalgae,macroalgae,sand,sand
20210810,Varari,V14,214,D,10:40,3408,macroalgae,macroalgae,sand,sand,sand,macroalgae,macroalgae,sand,sand,sand,sand,sand,sand,sand,sand,macroalgae,sand,sand,sand,sand,sand,sand,macroalgae,sand,macroalgae
20210804,Varari,V15,215,macroalgae,16:23,2839,turf,turf,stony coral,stony coral,stony coral,turf,turf,stony coral,soft coral,bare rock,turf,turf,turf,soft coral,macroalgae,macroalgae,macroalgae,sponge,turf,turf,soft coral,soft coral,soft coral,stony coral,stony coral
20210804,Varari,V15,215,B,16:39,2878,turf,macroalgae,stony coral,sand,stony coral,bare rock,CCA,bare rock,bare rock,bare rock,turf,stony coral,bare rock,bare rock,bare rock,turf,stony coral,macroalgae,macroalgae,bare rock,turf,macroalgae,stony coral,stony coral,macroalgae
20210804,Varari,V15,215,C,16:50,2898,macroalgae,macroalgae,soft coral,turf,turf,bare rock,soft coral,turf,turf,turf,macroalgae,turf,turf,turf,turf,macroalgae,bare rock,soft coral,turf,soft coral,stony coral,soft coral,bare rock,macroalgae,stony coral
20210804,Varari,V15,215,D,17:03,2943,turf,turf,bare rock,CCA,bare rock,turf,turf,turf,bare rock,turf,turf,macroalgae,turf,turf,turf,stony coral,macroalgae,turf,CCA,CCA,stony coral,macroalgae,turf,turf,turf
20210804,Varari,V16,216,macroalgae,13:57,100-2699,macroalgae,sand,stony coral,bare rock,bare rock,sand,sand,sand,stony coral,bare rock,sand,sand,CCA,bare rock,bare rock,macroalgae,bare rock,CCA,macroalgae,bare rock,bare rock,bare rock,macroalgae,bare rock,bare rock
20210804,Varari,V16,216,B,14:05,100-2708,turf,sand,sand,bare rock,sand,bare rock,bare rock,sand,sand,sand,bare rock,turf,turf,sand,sand,stony coral,bare rock,turf,sand,sand,bare rock,bare rock,turf,sand,sand
20210804,Varari,V16,216,C,14:10,100-2711,sand,sand,stony coral,turf,turf,sand,stony coral,stony coral,turf,sand,sand,stony coral,stony coral,turf,turf,sand,sand,stony coral,stony coral,stony coral,macroalgae,sand,bare rock,stony coral,stony coral
20210804,Varari,V16,216,D,14:14,100-2713,bare rock,bare rock,bare rock,sand,sand,turf,turf,turf,sand,sand,stony coral,stony coral,turf,sand,sand,stony coral,stony coral,macroalgae,stony coral,stony coral,sand,stony coral,stony coral,turf,sand
20210810,Varari,V17,217,macroalgae,10:52,3414,sand,sand,sand,sand,sand,sand,turf,sand,sand,sand,sand,sand,sand,sand,sand,macroalgae,sand,sand,macroalgae,sand,turf,macroalgae,sand,turf,macroalgae
20210810,Varari,V17,217,B,11:00,3420,bare rock,sand,sand,sand,sand,macroalgae,macroalgae,turf,bare rock,sand,CCA,macroalgae,turf,macroalgae,sand,CCA,turf,turf,turf,sand,turf,turf,turf,turf,sand
20210810,Varari,V17,217,C,11:15,3438,sand,sponge,turf,turf,macroalgae,CCA,sponge,sponge,turf,macroalgae,macroalgae,macroalgae,macroalgae,sponge,sponge,macroalgae,macroalgae,macroalgae,macroalgae,sponge,sand,macroalgae,macroalgae,macroalgae,macroalgae
20210810,Varari,V17,217,D,11:30,3458,macroalgae,macroalgae,macroalgae,sand,sand,turf,bare rock,turf,sand,sand,macroalgae,macroalgae,turf,macroalgae,sand,macroalgae,macroalgae,macroalgae,sand,sand,sand,sand,sand,sand,sand
20210811,Varari,V18,218,macroalgae,14:33,3625,stony coral,stony coral,bare rock,turf,turf,bare rock,stony coral,turf,turf,turf,stony coral,stony coral,sponge,sponge,sponge,stony coral,stony coral,sponge,turf,sponge,stony coral,stony coral,stony coral,turf,sponge
20210811,Varari,V18,218,B,14:46,3628,turf,turf,turf,turf,turf,turf,turf,macroalgae,turf,macroalgae,sponge,turf,macroalgae,macroalgae,macroalgae,sponge,turf,turf,soft coral,macroalgae,sponge,turf,soft coral,turf,macroalgae
20210811,Varari,V18,218,C,14:55,"3638, 3649-3651",turf,stony coral,turf,turf,turf,sand,sand,turf,turf,turf,turf,sand,macroalgae,macroalgae,sponge,turf,sand,macroalgae,macroalgae,sponge,macroalgae,CCA,bare rock,sand,stony coral
20210811,Varari,V18,218,D,15:11,3640,turf,turf,turf,turf,macroalgae,sponge,turf,CCA,turf,sponge,sponge,macroalgae,sponge,CCA,turf,turf,turf,turf,CCA,turf,stony coral,turf,bare rock,bare rock,turf
20210810,Varari,V20,220,macroalgae,9:28,3323,sand,sand,sand,macroalgae,stony coral,sand,sand,sand,macroalgae,stony coral,sand,sand,sand,macroalgae,stony coral,sand,sand,sand,stony coral,stony coral,sand,sand,sand,macroalgae,macroalgae
20210810,Varari,V20,220,B,9:41,3327,macroalgae,macroalgae,stony coral,stony coral,stony coral,stony coral,stony coral,stony coral,macroalgae,stony coral,stony coral,stony coral,stony coral,stony coral,stony coral,macroalgae,stony coral,stony coral,stony coral,stony coral,macroalgae,stony coral,stony coral,sand,macroalgae
20210810,Varari,V20,220,C,8:54,3338,sand,sand,sand,macroalgae,bare rock,sand,sand,sand,sand,bare rock,sand,sand,sand,sand,sand,macroalgae,sand,sand,sand,sand,macroalgae,sand,sand,sand,sand
20210810,Varari,V20,220,D,10:03,3349,macroalgae,sand,sand,sand,sand,bare rock,sand,sand,sand,sand,sand,sand,sand,sand,sand,sand,sand,sand,sand,sand,sand,sand,sand,sand,sand
