Taxa,Genus,Identified,Link,Taxon_Group,Family,Calcification,Morphology,Solitary_Colonial,Energetic_Resource,Feeding_Mode,Growth_Rate,Max_size_cm
Porites rus,Porites,yes,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1563441,Coral,NA,calcified,massive-branched,NA,Photo-autotroph,Filter-feeder,NA,
Psammocora,Psammocora,no,NA,Coral,NA,NA,NA,NA,Photo-autotroph,Filter-feeder,NA,
Rubble,Rubble,yes,NA,Abiotic,NA,NA,NA,NA,NA,NA,NA,
Sand,Sand,yes,NA,Abiotic,NA,NA,NA,NA,NA,NA,NA,
Sargassum pacificum,Sargassum,yes,https://www.marinespecies.org/aphia.php?p=taxdetails&id=376103,Phaeophyta,NA,non-calcified,branched,NA,Autotroph,Photosynthesis,NA,
Turbinaria ornata,Turbinaria,yes,https://www.marinespecies.org/aphia.php?p=taxdetails&id=221490,Phaeophyta,NA,calcified,branched,NA,Autotroph,Photosynthesis,NA,
Turf,Turf,yes,NA,Turf,NA,non-calcified,filamentous,NA,NA,NA,NA,17
Valonia fastigiata,Valonia,yes,https://www.marinespecies.org/aphia.php?p=taxdetails&id=211681,Chlorophyta,Valoniaceae,non-calcified,spherical,gregarious,Autotroph,Photosynthesis,NA,
Valonia macrophysa,Valonia,yes,https://www.marinespecies.org/aphia.php?p=taxdetails&id=145883,Chlorophyta,Valoniaceae,non-calcified,spherical,gregarious,Autotroph,Photosynthesis,NA,
Valonia ventricosa,Valonia,yes,https://www.marinespecies.org/aphia.php?p=taxdetails&id=145885,Chlorophyta,Valoniaceae,non-calcified,spherical,solitary,Autotroph,Photosynthesis,NA,20
Verongida sp.,Verongida,yes,NA,Sponge,NA,NA,NA,NA,NA,NA,NA,
