Individual_ID,Weight_g_0,Weight_g_1,Assem_HL,Envi_HL,Species_ID,Org_type,Photo_ID_0,Photo_ID_1,Diameter_0,Diameter_1,Weight_plus_legowrap_0,Weight_plus_legowrap_1,Length_to_base_0,Length_to_base_1,Length_to_longest_root_0,Length_to_longest_root_1
C6H,8.8,,H,H,Discosoma nummiforme,Soft,,,1.6,,,,,,,
C6L,4.6,,H,L,Discosoma nummiforme,Soft,,,1.6,,,,,,,
C7H,6,,H,H,Discosoma nummiforme,Soft,,,1.5,,,,,,,
C7L,8.1,,H,L,Discosoma nummiforme,Soft,,,1.4,,,,,,,
C8H,8.5,8.5,H,H,Discosoma nummiforme,Soft,,,1.6,0.7,,,,,,
C8L,10.4,10.6,H,L,Discosoma nummiforme,Soft,,,1.4,1.6,,,,,,
C9H,7.8,7.7,H,H,Discosoma nummiforme,Soft,,,2,1.6,,,,,,
C9L,8.4,,H,L,Discosoma nummiforme,Soft,,,1.9,,,,,,,
D1H,31.5,34.6,H,H,Lendenfeldia chondrodes,Sponge,,,,,,,,,,
D1L,34.2,,H,L,Lendenfeldia chondrodes,Sponge,,,,,,,,,,
D2H,28.1,,H,H,Lendenfeldia chondrodes,Sponge,,,,,,,,,,
D2L,25.1,,H,L,Lendenfeldia chondrodes,Sponge,,,,,,,,,,
D3H,17.5,16.3,H,H,Lendenfeldia chondrodes,Sponge,,,,,,,,,,
D3L,17.8,,H,L,Lendenfeldia chondrodes,Sponge,,,,,,,,,,
D4H,24.9,22.6,H,H,Lendenfeldia chondrodes,Sponge,,,,,,,,,,
D4L,27.9,,H,L,Lendenfeldia chondrodes,Sponge,,,,,,,,,,
D5H,16.4,,H,H,Lendenfeldia chondrodes,Sponge,,,,,,,,,,
D5L,34.2,,H,L,Lendenfeldia chondrodes,Sponge,,,,,,,,,,
D6H,33.2,,H,H,Lendenfeldia chondrodes,Sponge,,,,,,,,,,
D7H,22.8,,H,H,Lendenfeldia chondrodes,Sponge,,,,,,,,,,
D7L,22.1,20.6,H,L,Lendenfeldia chondrodes,Sponge,,,,,,,,,,
D7L,22.5,20.6,H,L,Lendenfeldia chondrodes,Sponge,,,,,,,,,,
D8H,26.3,,H,H,Lendenfeldia chondrodes,Sponge,,,,,,,,,,
D8L,20.7,,H,L,Lendenfeldia chondrodes,Sponge,,,,,,,,,,
D9H,31.9,27.6,H,H,Lendenfeldia chondrodes,Sponge,,,,,,,,,,
D9L,17.1,,H,L,Lendenfeldia chondrodes,Sponge,,,,,,,,,,
D10H,22.1,,H,H,Lendenfeldia chondrodes,Sponge,,,,,,,,,,
D10L,22.8,,H,L,Lendenfeldia chondrodes,Sponge,,,,,,,,,,
D10L,22.1,,H,L,Lendenfeldia chondrodes,Sponge,,,,,,,,,,
D11H,19.5,18.7,H,H,Lendenfeldia chondrodes,Sponge,,,,,,,,,,
D11L,23.2,,H,L,Lendenfeldia chondrodes,Sponge,,,,,,,,,,
D12H,27.6,,H,H,Lendenfeldia chondrodes,Sponge,,,,,,,,,,
D12L,23.8,,H,L,Lendenfeldia chondrodes,Sponge,,,,,,,,,,
D13H,18.7,31.8,H,H,Lendenfeldia chondrodes,Sponge,,,,,,,,,,
D13L,24.5,25.9,H,L,Lendenfeldia chondrodes,Sponge,,,,,,,,,,
F10H,1.6,,H,H,Dictyota bartayresiana,Algae,,,,,4.1,,,,,
F10L,1.5,,H,L,Dictyota bartayresiana,Algae,,,,,3.9,,,,,
F11H,1.5,,H,H,Dictyota bartayresiana,Algae,,,,,3.8,,,,,
F11L,1.5,,H,L,Dictyota bartayresiana,Algae,,,,,3.8,,,,,
F12H,1.6,,H,H,Dictyota bartayresiana,Algae,,,,,4.1,,,,,
F12L,1.4,,H,L,Dictyota bartayresiana,Algae,,,,,4.1,,,,,
F13H,1.6,,H,H,Dictyota bartayresiana,Algae,,,,,3.8,,,,,
F13L,1.6,,H,L,Dictyota bartayresiana,Algae,,,,,3.8,,,,,
F1H,1.5,,H,H,Dictyota bartayresiana,Algae,,,,,3.9,,,,,
F1L,1.5,,h,L,Dictyota bartayresiana,Algae,,,,,4,,,,,
F2H,1.6,,H,H,Dictyota bartayresiana,Algae,,,,,3.9,,,,,
F2L,1.6,,H,L,Dictyota bartayresiana,Algae,,,,,4.1,,,,,
F3H,1.4,,H,H,Dictyota bartayresiana,Algae,,,,,3.8,,,,,
F3L,1.6,,H,L,Dictyota bartayresiana,Algae,,,,,4.2,,,,,
F4H,1.6,,H,H,Dictyota bartayresiana,Algae,,,,,4.2,,,,,
F4L,1.6,,H,L,Dictyota bartayresiana,Algae,,,,,4,,,,,
F5H,1.4,,H,H,Dictyota bartayresiana,Algae,,,,,3.7,,,,,
F5L,1.5,,H,L,Dictyota bartayresiana,Algae,,,,,3.8,,,,,
F6H,1.5,,H,H,Dictyota bartayresiana,Algae,,,,,4,,,,,
F6L,1.6,,H,L,Dictyota bartayresiana,Algae,,,,,3.9,,,,,
F7H,1.6,,H,H,Dictyota bartayresiana,Algae,,,,,4.1,,,,,
F7L,1.6,,H,L,Dictyota bartayresiana,Algae,,,,,4,,,,,
F8H,1.5,,H,H,Dictyota bartayresiana,Algae,,,,,3.8,,,,,
F8L,1.4,,H,L,Dictyota bartayresiana,Algae,,,,,4,,,,,
F9H,1.5,,H,H,Dictyota bartayresiana,Algae,,,,,3.8,,,,,
F9L,1.6,,H,L,Dictyota bartayresiana,Algae,,,,,3.9,,,,,
G10H,6.3,,H,H,Turbinaria ornata,Algae,,,,,8.8,,9,,NA,
G10L,9,,H,L,Turbinaria ornata,Algae,,,,,11.2,,10.6,,14.4,
G11H,13.4,,H,H,Turbinaria ornata,Algae,,,,,15.7,,15.5,,17.2,
G11L,9.4,,H,L,Turbinaria ornata,Algae,,,,,12,,14,,NA,
G12H,4.8,,H,H,Turbinaria ornata,Algae,,,,,7.1,,7,,9.5,
G12L,4.5,,H,L,Turbinaria ornata,Algae,,,,,6.9,,5.8,,8.8,
G13H,9.8,,H,H,Turbinaria ornata,Algae,,,,,12.1,,9.2,,12,
G13L,4.4,,H,L,Turbinaria ornata,Algae,,,,,6.9,,9,,12.4,
G1H,5.7,,H,H,Turbinaria ornata,Algae,,,,,7.9,,8,,11.4,
G1L,11,,H,L,Turbinaria ornata,Algae,,,,,13,,12,,18,
G2H,6.2,,H,H,Turbinaria ornata,Algae,,,,,8.2,,11.4,,14.1,
G2L,4.3,,H,L,Turbinaria ornata,Algae,,,,,6.6,,8.2,,11,
G3H,3.3,,H,H,Turbinaria ornata,Algae,,,,,5.8,,7.9,,9.8,
G3L,4.3,,H,L,Turbinaria ornata,Algae,,,,,6.7,,7,,8.6,
G4H,9.9,,H,H,Turbinaria ornata,Algae,,,,,12.1,,10,,16.1,
G4L,7.58,,H,L,Turbinaria ornata,Algae,,,,,9.4,,10,,11,
G5H,2.7,,H,H,Turbinaria ornata,Algae,,,,,5.2,,7,,10.4,
G5L,5.3,,H,L,Turbinaria ornata,Algae,,,,,7.8,,7.9,,8.8,
G6H,3.1,,H,H,Turbinaria ornata,Algae,,,,,5.9,,8.5,,10,
G6L,3.7,,H,L,Turbinaria ornata,Algae,,,,,6.4,,8.7,,10.2,
G7H,5,,H,H,Turbinaria ornata,Algae,,,,,7.2,,11.3,,14.1,
G7L,3.6,,H,L,Turbinaria ornata,Algae,,,,,6.5,,8.5,,11.1,
G8H,5.2,,H,H,Turbinaria ornata,Algae,,,,,7.1,,9.7,,14.3,
G8L,4.6,,H,L,Turbinaria ornata,Algae,,,,,7,,8.6,,13,
G9H,6.1,8,H,H,Turbinaria ornata,Algae,,,,,8.4,10.7,8.1,9.5,12.2,NA
G9L,4.9,,H,L,Turbinaria ornata,Algae,,,,,7,,7.5,,11.6,
Glass_DI,14.902,,,,,,,,,,,,,,,
Glass_DI,14.917,,,,,,,,,,,,,,,
Glass_DI,14.915,,,,,,,,,,,,,,,
Glass_SW,14.6,,,,,,,,,,,,,,,
Glass_SW,14.599,,,,,,,,,,,,,,,
Glass_SW,14.604,,,,,,,,,,,,,,,
I1H,17.7,18.7,H,H,Grey Sponge,Sponge,,,,,,,,,,
I1L,16.6,,H,L,Grey Sponge,Sponge,,,,,,,,,,
I2H,17,15.4,H,H,Grey Sponge,Sponge,,,,,,,,,,
I2L,21,,H,L,Grey Sponge,Sponge,,,,,,,,,,
I3H,27,27.1,H,H,Grey Sponge,Sponge,,,,,,,,,,
I3L,27.9,26.9,H,L,Grey Sponge,Sponge,,,,,,,,,,
I4H,19.6,19.8,H,H,Grey Sponge,Sponge,,,,,,,,,,
I4L,19.4,19.8,H,L,Grey Sponge,Sponge,,,,,,,,,,
I5H,21,,H,H,Grey Sponge,Sponge,,,,,,,,,,
I5L,19.6,,H,L,Grey Sponge,Sponge,,,,,,,,,,
I6H,18.3,16.9,H,H,Grey Sponge,Sponge,,,,,,,,,,
I6L,18.9,,H,L,Grey Sponge,Sponge,,,,,,,,,,
I7H,24.1,22.9,H,H,Grey Sponge,Sponge,,,,,,,,,,
I7L,22.3,21.8,H,L,Grey Sponge,Sponge,,,,,,,,,,
I8H,20.8,20.6,H,H,Grey Sponge,Sponge,,,,,,,,,,
I8L,23.6,,H,L,Grey Sponge,Sponge,,,,,,,,,,
I9H,19.6,20.4,H,H,Grey Sponge,Sponge,,,,,,,,,,
I9L,17.4,17,H,L,Grey Sponge,Sponge,,,,,,,,,,
I10H,21,,H,H,Grey Sponge,Sponge,,,,,,,,,,
I10L,19,,H,L,Grey Sponge,Sponge,,,,,,,,,,
I11H,20.6,20.3,H,H,Grey Sponge,Sponge,,,,,,,,,,
I11L,21.9,,H,L,Grey Sponge,Sponge,,,,,,,,,,
I12H,24.9,,H,H,Grey Sponge,Sponge,,,,,,,,,,
I12L,20.8,,H,L,Grey Sponge,Sponge,,,,,,,,,,
I13H,20.4,21.4,H,H,Grey Sponge,Sponge,,,,,,,,,,
I13L,20.6,,H,L,Grey Sponge,Sponge,,,,,,,,,,
K1H,7.912,,,,,,,,,,,,,,,
K1L,6.59,,,,,,,,,,,,,,,
K2H,8.452,,,,,,,,,,,,,,,
K2L,5.686,,,,,,,,,,,,,,,
M10H,15.8,,L,H,Lobophora variegata,Algae,5592-5596,,,,,,,,,
M10L,19.8,,L,L,Lobophora variegata,Algae,5602-5606,,,,,,,,,
M11H,13.9,14.7,L,H,Lobophora variegata,Algae,5657-5661,6518-6522,,,,,,,,
M11L,18.2,,L,L,Lobophora variegata,Algae,5622-5626,,,,,,,,,
M12H,15.3,16.1,L,H,Lobophora variegata,Algae,5667-5671,"6456-6460, 6481",,,,,,,,
M12L,13.7,,L,L,Lobophora variegata,Algae,5632-5636,,,,,,,,,
M13H,14.1,14.2,L,H,Lobophora variegata,Algae,5647-5651,6488-6492,,,,,,,,
M13L,14.1,14.4,L,L,Lobophora variegata,Algae,5662-5666,6498-6502,,,,,,,,
M1H,9.4,,L,H,Lobophora variegata,Algae,5587-5591,,,,,,,,,
M1L,17,18.1,L,L,Lobophora variegata,Algae,5597-5601,6513-6517,,,,,,,,
M2H,8.7,8.6,L,H,Lobophora variegata,Algae,4597-5701,"6469-6472, 6484",,,,,,,,
M2L,12.4,,L,L,Lobophora variegata,Algae,5617-5621,,,,,,,,,
M3H,13.3,,L,H,Lobophora variegata,Algae,5607-5611,,,,,,,,,
M3L,11.6,,L,L,Lobophora variegata,Algae,5582-5586,,,,,,,,,
M4H,17.4,17.3,L,H,Lobophora variegata,Algae,5677-5681,"6461-6464, 6482",,,,,,,,
M4L,13.5,,L,L,Lobophora variegata,Algae,5692-5696,,,,,,,,,
M5H,18.1,18.4,L,H,Lobophora variegata,Algae,5687-5691,6523-6527,,,,,,,,
M5L,14.3,,L,L,Lobophora variegata,Algae,5682-5686,,,,,,,,,
M6H,15.8,15.9,L,H,Lobophora variegata,Algae,5637-5641,"6473-6476, 6485",,,,,,,,
M6L,18,18.9,L,L,Lobophora variegata,Algae,5642-5646,6503-6507,,,,,,,,
M7H,12.5,12.8,L,H,Lobophora variegata,Algae,5576-5581,"6477-6480, 6486",,,,,,,,
M7L,13.3,13.9,L,L,Lobophora variegata,Algae,5672-5676,6493-6497,,,,,,,,
M8H,11.7,11.8,L,H,Lobophora variegata,Algae,5652-5656,"6465-6468, 6483",,,,,,,,
M8L,13.8,14.1,L,L,Lobophora variegata,Algae,5627-5631,6508-6512,,,,,,,,
M9H,9.1,,L,H,Lobophora variegata,Algae,5702-5706,,,,,,,,,
M9L,23.6,,L,L,Lobophora variegata,Algae,5612-5616,,,,,,,,,
N10H,6.9,,L,H,Turbinaria ornata,Algae,,,,,9.2,,8.1,,8.5,
N10L,7.8,,L,L,Turbinaria ornata,Algae,,,,,10.1,,9.6,,12.9,
N11H,5.2,,L,H,Turbinaria ornata,Algae,,,,,7.4,,6.5,,11.6,
N11L,6.8,,L,L,Turbinaria ornata,Algae,,,,,9.1,,8.1,,10.6,
N12H,5.7,,L,H,Turbinaria ornata,Algae,,,,,8.1,,8.2,,10.9,
N12L,6,,L,L,Turbinaria ornata,Algae,,,,,8.1,,8.2,,10.9,
N13H,7.3,,L,H,Turbinaria ornata,Algae,,,,,9.7,,10,,14.1,
N13L,8.6,,L,L,Turbinaria ornata,Algae,,,,,10.9,,11.1,,16,
N1H,10.7,5.8,L,H,Turbinaria ornata,Algae,,,,,13,8.5,12.5,9.3,15,13
N1L,11.8,,L,L,Turbinaria ornata,Algae,,,,,14.1,,10,,16.9,
N2H,4.4,,L,H,Turbinaria ornata,Algae,,,,,6.7,,7.4,,11,
N2L,4.2,,L,L,Turbinaria ornata,Algae,,,,,6.5,,7.1,,11.2,
N3H,5.1,,L,H,Turbinaria ornata,Algae,,,,,7.7,,9,,NA,
N3L,3.7,,L,L,Turbinaria ornata,Algae,,,,,6.1,,10.1,,11.5,
N4H,5.9,,L,H,Turbinaria ornata,Algae,,,,,8.3,,9.5,,12.3,
N4L,7.7,,L,L,Turbinaria ornata,Algae,,,,,10.2,,11.8,,14.1,
N5H,4.9,,L,H,Turbinaria ornata,Algae,,,,,7.2,,7.9,,11.8,
N5L,3.4,,L,L,Turbinaria ornata,Algae,,,,,5.5,,8.2,,11.1,
N6H,4.6,,L,H,Turbinaria ornata,Algae,,,,,6.9,,8,,12.7,
N6L,3.9,,L,L,Turbinaria ornata,Algae,,,,,6.2,,9.2,,12,
N7H,8.8,,L,H,Turbinaria ornata,Algae,,,,,11.1,,13.3,,15.5,
N7L,10.5,,L,L,Turbinaria ornata,Algae,,,,,12.8,,16,,18.5,
N8H,9.8,,L,H,Turbinaria ornata,Algae,,,,,12.2,,11,,11.5,
N8L,5.9,,L,L,Turbinaria ornata,Algae,,,,,8.1,,9.7,,12,
N9H,3.2,,L,H,Turbinaria ornata,Algae,,,,,5.7,,7.2,,NA,
N9L,4.6,,L,L,Turbinaria ornata,Algae,,,,,7,,10.2,,12,
O10H,1.6,,L,H,Dictyota bartayresiana,Algae,,,,,4.1,,,,,
O10L,1.6,,L,L,Dictyota bartayresiana,Algae,,,,,4,,,,,
O11H,1.6,,L,H,Dictyota bartayresiana,Algae,,,,,4.1,,,,,
O11L,1.6,,L,L,Dictyota bartayresiana,Algae,,,,,4.1,,,,,
O12H,1.5,,L,H,Dictyota bartayresiana,Algae,,,,,3.9,,,,,
O12L,1.6,,L,L,Dictyota bartayresiana,Algae,,,,,4,,,,,
O13H,1.5,,L,H,Dictyota bartayresiana,Algae,,,,,3.9,,,,,
O13L,1.6,,L,L,Dictyota bartayresiana,Algae,,,,,4.1,,,,,
O1H,1.4,,L,H,Dictyota bartayresiana,Algae,,,,,3.9,,,,,
O1L,1.5,,L,L,Dictyota bartayresiana,Algae,,,,,4,,,,,
O2H,1.5,,L,H,Dictyota bartayresiana,Algae,,,,,3.9,,,,,
O2L,1.5,,L,L,Dictyota bartayresiana,Algae,,,,,4,,,,,
O3H,1.5,,L,H,Dictyota bartayresiana,Algae,,,,,3.9,,,,,
O3L,1.5,,L,L,Dictyota bartayresiana,Algae,,,,,4,,,,,
O4H,1.6,,L,H,Dictyota bartayresiana,Algae,,,,,3.9,,,,,
O4L,1.4,,L,L,Dictyota bartayresiana,Algae,,,,,3.8,,,,,
O5H,1.4,,L,H,Dictyota bartayresiana,Algae,,,,,4,,,,,
O5L,1.6,,L,L,Dictyota bartayresiana,Algae,,,,,4.1,,,,,
O6H,1.6,,L,H,Dictyota bartayresiana,Algae,,,,,3.6,,,,,
O6L,1.6,,L,L,Dictyota bartayresiana,Algae,,,,,4,,,,,
O7H,1.6,,L,H,Dictyota bartayresiana,Algae,,,,,4,,,,,
O7L,1.6,,L,L,Dictyota bartayresiana,Algae,,,,,4,,,,,
O8H,1.6,,L,H,Dictyota bartayresiana,Algae,,,,,4.1,,,,,
O8L,1.6,,L,L,Dictyota bartayresiana,Algae,,,,,4.1,,,,,
O9H,1.4,,L,H,Dictyota bartayresiana,Algae,,,,,4.1,,,,,
O9L,1.6,,L,L,Dictyota bartayresiana,Algae,,,,,4,,,,,
P1H,21.4,,L,H,Lendenfeldia chondrodes,Sponge,,,,,,,,,,
P1L,24.5,,L,L,Lendenfeldia chondrodes,Sponge,,,,,,,,,,
P2H,25.5,,L,H,Lendenfeldia chondrodes,Sponge,,,,,,,,,,
P2L,23.6,,L,L,Lendenfeldia chondrodes,Sponge,,,,,,,,,,
P3H,23.1,,L,H,Lendenfeldia chondrodes,Sponge,,,,,,,,,,
P3L,21.6,,L,L,Lendenfeldia chondrodes,Sponge,,,,,,,,,,
P4H,16.6,,L,H,Lendenfeldia chondrodes,Sponge,,,,,,,,,,
P4L,13.9,,L,L,Lendenfeldia chondrodes,Sponge,,,,,,,,,,
P5H,28.8,27.2,L,H,Lendenfeldia chondrodes,Sponge,,,,,,,,,,
P5L,31.3,,L,L,Lendenfeldia chondrodes,Sponge,,,,,,,,,,
P6H,24.2,,L,H,Lendenfeldia chondrodes,Sponge,,,,,,,,,,
P6L,25.4,,L,L,Lendenfeldia chondrodes,Sponge,,,,,,,,,,
P7H,21.5,23,L,H,Lendenfeldia chondrodes,Sponge,,,,,,,,,,
P7L,23.5,,L,L,Lendenfeldia chondrodes,Sponge,,,,,,,,,,
P8H,19.9,,L,H,Lendenfeldia chondrodes,Sponge,,,,,,,,,,
P8L,31,30.2,L,L,Lendenfeldia chondrodes,Sponge,,,,,,,,,,
P9H,30.3,28.6,L,H,Lendenfeldia chondrodes,Sponge,,,,,,,,,,
P9L,34.1,33.1,L,L,Lendenfeldia chondrodes,Sponge,,,,,,,,,,
P10H,26.1,23.3,L,H,Lendenfeldia chondrodes,Sponge,,,,,,,,,,
P10L,30.2,28.6,L,L,Lendenfeldia chondrodes,Sponge,,,,,,,,,,
P11H,31,,L,H,Lendenfeldia chondrodes,Sponge,,,,,,,,,,
P11L,27.5,,L,L,Lendenfeldia chondrodes,Sponge,,,,,,,,,,
P12H,33.5,,L,H,Lendenfeldia chondrodes,Sponge,,,,,,,,,,
P12L,29.7,30.3,L,L,Lendenfeldia chondrodes,Sponge,,,,,,,,,,
P13H,31.3,,L,H,Lendenfeldia chondrodes,Sponge,,,,,,,,,,
P13L,25.5,,L,L,Lendenfeldia chondrodes,Sponge,,,,,,,,,,
R10H,3.5,,L,H,Padina boryana,Algae,,,,,6.3,,,,,
R10L,3,,L,L,Padina boryana,Algae,,,,,5.8,,,,,
R11H,2.7,,L,H,Padina boryana,Algae,,,,,5.1,,,,,
R11L,3.3,,L,L,Padina boryana,Algae,,,,,5.7,,,,,
R12H,3.4,,L,H,Padina boryana,Algae,,,,,5.8,,,,,
R12L,3.9,,L,L,Padina boryana,Algae,,,,,6.4,,,,,
R13H,1.7,,L,H,Padina boryana,Algae,,,,,4.4,,,,,
R13L,2,,L,L,Padina boryana,Algae,,,,,4.5,,,,,
R1H,2.7,,L,H,Padina boryana,Algae,,,,,5.3,,,,,
R1L,1.2,,L,L,Padina boryana,Algae,,,,,3.3,,,,,
R2H,2.6,,L,H,Padina boryana,Algae,,,,,4.8,,,,,
R2L,4.7,,L,L,Padina boryana,Algae,,,,,7,,,,,
R3H,2.9,,L,H,Padina boryana,Algae,,,,,5.2,,,,,
R3L,4.6,,L,L,Padina boryana,Algae,,,,,6.2,,,,,
R4H,2.9,,L,H,Padina boryana,Algae,,,,,5.1,,,,,
R4L,3,,L,L,Padina boryana,Algae,,,,,5.1,,,,,
R5H,2.9,,L,H,Padina boryana,Algae,,,,,5.3,,,,,
R5L,2.8,,L,L,Padina boryana,Algae,,,,,5.3,,,,,
R6H,2.4,,L,H,Padina boryana,Algae,,,,,4.8,,,,,
R6L,4.8,,L,L,Padina boryana,Algae,,,,,7,,,,,
R7H,3.7,,L,H,Padina boryana,Algae,,,,,6.1,,,,,
R7L,3.8,,L,L,Padina boryana,Algae,,,,,6.3,,,,,
R8H,2.7,,L,H,Padina boryana,Algae,,,,,5,,,,,
R8L,3.6,,L,L,Padina boryana,Algae,,,,,6.1,,,,,
R9H,2.4,,L,H,Padina boryana,Algae,,,,,4.8,,,,,
R9L,3.8,,L,L,Padina boryana,Algae,,,,,6.3,,,,,
