lon,lat,Location
-149.91304695126533,-17.517256846335673,Cabral
-149.91311708856088,-17.517254500368487,Cabral
-149.91285756234328,-17.51715840732967,Cabral
-149.9128461813139,-17.51712767882345,Cabral
-149.9125387922694,-17.517013851045927,Cabral
-149.91278879156755,-17.516980197288394,Cabral
-149.91297522652326,-17.5169795261898,Cabral
-149.9124871037388,-17.516972276999965,Cabral
-149.91311010396007,-17.51690832048233,Cabral
-149.91310135213968,-17.516884188620352,Cabral
-149.91249222594882,-17.51687633229697,Cabral
-149.9124945517597,-17.516816198623705,Cabral
-149.91288413204578,-17.516806368196463,Cabral
-149.91300280701407,-17.516718782197913,Cabral
-149.91324413865615,-17.516709818693126,Cabral
-149.913098893287,-17.516703925659478,Cabral
-149.91317304056165,-17.51670229010232,Cabral
-149.91289248545922,-17.516688166710004,Cabral
-149.9125188186902,-17.51664032257927,Cabral
-149.91286431295615,-17.516625743051943,Cabral
-149.91291075667905,-17.51659808585168,Cabral
-149.91291256234794,-17.516582882010887,Cabral
-149.9126431432871,-17.516559189416327,Cabral
-149.91324377443053,-17.516527801270716,Cabral
-149.91332052568603,-17.516521270597234,Cabral
-149.91294295543685,-17.51651492725182,Cabral
-149.9131629406714,-17.516513134772655,Cabral
-149.9127967295846,-17.516461685085485,Cabral
-149.9132723511515,-17.516423619091597,Cabral
-149.912949394725,-17.516383206808424,Cabral
-149.91327760859176,-17.516326369944853,Cabral
-149.91333468017893,-17.51627922916761,Cabral
-149.91333283147824,-17.516244820890876,Cabral
-149.91335813772372,-17.51623774640748,Cabral
-149.91329700214214,-17.51619332190609,Cabral
-149.91317752831804,-17.51616740596501,Cabral
-149.91330098740008,-17.51614132797944,Cabral
-149.91339400024745,-17.516087248210045,Cabral
-149.91337269882538,-17.515976872938076,Cabral
-149.9133519038796,-17.515902584806906,Cabral
-149.91326639537957,-17.515901098793073,Cabral
-149.9128654055923,-17.515880243897563,Cabral
-149.91316111886152,-17.515855779912677,Cabral
-149.91321433020707,-17.51583337421521,Cabral
-149.91320505103943,-17.515808391237425,Cabral
-149.9130996369448,-17.515758101965673,Cabral
-149.91285016598735,-17.51575383675945,Cabral
-149.91313293449318,-17.515740340879642,Cabral
-149.9130166562273,-17.515716998703294,Cabral
-149.91288198788305,-17.515665613752372,Cabral
-149.91318861797598,-17.51560371121882,Cabral
-149.91328345642413,-17.51559397923585,Cabral
-149.91296288721742,-17.515571131222156,Cabral
-149.9130973302354,-17.51554337898955,Cabral
-149.91289879558173,-17.51550540494485,Cabral
-149.91313031276349,-17.51546510838512,Cabral
-149.91303115737594,-17.515356920814774,Cabral
-149.91311034413107,-17.51534741450676,Cabral
-149.91312536092553,-17.515271868816047,Cabral
