lon,lat,Location,CowTagID
-149.90029732549786,-17.54020747280667,Varari,random_40
-149.90044421298296,-17.540200769536227,Varari,random_41
-149.8995794800406,-17.54019913103035,Varari,random_42
-149.8997041546458,-17.540196539663825,Varari,random_43
-149.90033491904606,-17.54017535934062,Varari,random_44
-149.90012554733707,-17.540164739910853,Varari,random_45
-149.90002994165948,-17.540163526296414,Varari,random_46
-149.9000923710291,-17.540157853979828,Varari,random_47
-149.8997370539241,-17.54015155296735,Varari,random_48
-149.89969908287392,-17.54014868029235,Varari,random_49
-149.89982094631486,-17.540135327196328,Varari,random_50
-149.90043218630035,-17.540130790425234,Varari,random_51
-149.90067641166013,-17.540128167923065,Varari,random_52
-149.90048607300767,-17.54012509804788,Varari,random_53
-149.89991649910903,-17.540111746682076,Varari,random_54
-149.89967959058578,-17.540105427230408,Varari,random_55
-149.8999052976592,-17.540083328744792,Varari,random_56
-149.89968178012205,-17.540078485792115,Varari,random_57
-149.90063145888377,-17.54007699859121,Varari,random_58
-149.8997450110903,-17.540071307992406,Varari,random_59
-149.9003764303915,-17.540040080455075,Varari,random_60
-149.90060003242223,-17.540028877900696,Varari,random_61
-149.90054807002753,-17.540022244848863,Varari,random_62
-149.9002720894344,-17.5400120900269,Varari,random_63
-149.90049714211403,-17.53997365910215,Varari,random_64
-149.9003907727693,-17.53994391610821,Varari,random_65
-149.89998914561608,-17.53992908874942,Varari,random_66
-149.9006238239572,-17.539840867607076,Varari,random_67
-149.90017842914443,-17.539818793630104,Varari,random_68
-149.90045369211242,-17.539739358980288,Varari,random_69
-149.9004459061242,-17.53973734305949,Varari,random_70
-149.90024306182715,-17.53973606103244,Varari,random_71
-149.9004437443745,-17.5397257977636,Varari,random_72
-149.90029225336536,-17.539669007541683,Varari,random_73
-149.90041318407606,-17.53966678351486,Varari,random_74
-149.9004499702059,-17.5395188339759,Varari,random_75
-149.9006267273402,-17.53949919227511,Varari,random_76
-149.90072995806764,-17.539456179273778,Varari,random_77
-149.90069219347288,-17.539445850257238,Varari,random_78
-149.900655591235,-17.539419611602753,Varari,random_79
-149.90058540988653,-17.539391998641477,Varari,random_80
-149.9127875139698,-17.518022399350798,Cabral,random_81
-149.91296638464217,-17.517973245074383,Cabral,random_82
-149.9125408411756,-17.51795137567597,Cabral,random_83
-149.91243118947648,-17.51792867990241,Cabral,random_84
-149.9127806951923,-17.517907179442854,Cabral,random_85
-149.91284121289695,-17.517893871372976,Cabral,random_86
-149.9127309820131,-17.517835537226464,Cabral,random_87
-149.91265417351116,-17.51779721478481,Cabral,random_88
-149.91289958544263,-17.5177614032094,Cabral,random_89
-149.91253090435143,-17.517737818530815,Cabral,random_90
-149.91244482580808,-17.517710398275227,Cabral,random_91
-149.91259911067104,-17.517698986207126,Cabral,random_92
-149.91242902425736,-17.517662079982244,Cabral,random_93
-149.9128694239498,-17.517640571276925,Cabral,random_94
-149.91292614263276,-17.51762346457261,Cabral,random_95
-149.91289237754023,-17.51762254096624,Cabral,random_96
-149.91291804575255,-17.51761173881139,Cabral,random_97
-149.913091402197,-17.51757656828472,Cabral,random_98
-149.91245989235347,-17.5175607969611,Cabral,random_99
-149.91257448017132,-17.517541094896004,Cabral,random_100
-149.91305196117938,-17.517531846333537,Cabral,random_101
-149.91275092886528,-17.517513537011336,Cabral,random_102
-149.91241576641264,-17.517511448594526,Cabral,random_103
-149.91239895320044,-17.51746808848351,Cabral,random_104
-149.9124501915008,-17.51744221755995,Cabral,random_105
-149.91281585632322,-17.517434574169414,Cabral,random_106
-149.91249323771618,-17.517389704949125,Cabral,random_107
-149.91298071358563,-17.517345550162315,Cabral,random_108
-149.91257254570215,-17.517322460855034,Cabral,random_109
-149.9128017284443,-17.517311968970944,Cabral,random_110
-149.9130150887776,-17.517292719482523,Cabral,random_111
-149.9126671564092,-17.51728852671919,Cabral,random_112
-149.91251395205964,-17.517278717983686,Cabral,random_113
-149.91246600233328,-17.517235842747574,Cabral,random_114
-149.91277591280198,-17.517223625988517,Cabral,random_115
-149.91249721260928,-17.517172824043612,Cabral,random_116
-149.91292332949135,-17.517154427595734,Cabral,random_117
-149.91239331094707,-17.51710389329317,Cabral,random_118
-149.91298137186115,-17.516996658402107,Cabral,random_119
-149.91248823144232,-17.516980778903385,Cabral,random_120
-149.9123297423685,-17.516976205418178,Cabral,random_121
-149.91262455373143,-17.51695996750158,Cabral,random_122
-149.91256889415348,-17.516852590634986,Cabral,random_123
-149.91290857026218,-17.516764434257926,Cabral,random_124
-149.91319235614108,-17.516759159955523,Cabral,random_125
-149.91297090201704,-17.516730190918064,Cabral,random_126
-149.9126473879321,-17.516707356871834,Cabral,random_127
-149.91271862990365,-17.51668021848241,Cabral,random_128
-149.91251007734613,-17.516640638731122,Cabral,random_129
-149.91277662207963,-17.516618674157733,Cabral,random_130
-149.9129370350145,-17.516605380799056,Cabral,random_131
-149.91309492923276,-17.516576233670317,Cabral,random_132
-149.91309260311832,-17.516565850600063,Cabral,random_133
-149.9130239077877,-17.516561326954633,Cabral,random_134
-149.91251372521,-17.51648079234509,Cabral,random_135
-149.91310507025523,-17.516390644404858,Cabral,random_136
-149.9127987530904,-17.51631321692992,Cabral,random_137
-149.9131820347719,-17.516312653662794,Cabral,random_138
-149.91307255316158,-17.516305057367685,Cabral,random_139
-149.91333705954244,-17.516267666679084,Cabral,random_140
-149.91322412432993,-17.516208305172206,Cabral,random_141
-149.91296176052433,-17.516200887562647,Cabral,random_142
-149.9126667862637,-17.516192985610015,Cabral,random_143
-149.91328245499972,-17.516178724844224,Cabral,random_144
-149.91298972248538,-17.516162210645895,Cabral,random_145
-149.9129378043878,-17.516068750690273,Cabral,random_146
-149.91321000341478,-17.516020790674816,Cabral,random_147
-149.9132278952493,-17.515938977434647,Cabral,random_148
-149.91322948932662,-17.515834751163528,Cabral,random_149
-149.91320574180477,-17.515762671654674,Cabral,random_150
-149.91302218896624,-17.515741606580484,Cabral,random_151
-149.91330709982844,-17.51573178632379,Cabral,random_152
-149.91302591636406,-17.515662208558744,Cabral,random_153
-149.91316813773483,-17.51564777812136,Cabral,random_154
-149.91318775772592,-17.515554479659702,Cabral,random_155
-149.9132469445711,-17.515548951926085,Cabral,random_156
-149.91308150287307,-17.515541946359626,Cabral,random_157
-149.9130338836071,-17.515423894214223,Cabral,random_158
-149.91299706631352,-17.515364054103447,Cabral,random_159
-149.9130667159773,-17.515318896716494,Cabral,random_160
-149.900506,-17.53975298,Varari,V1
-149.899788,-17.54030501,Varari,V10
-149.900068,-17.54019303,Varari,V11
-149.900112,-17.54030996,Varari,V12
-149.899133,-17.540749,Varari,V13
-149.899396,-17.54039696,Varari,V14
-149.900183,-17.54014299,Varari,V15
-149.900492,-17.54029797,Varari,V16
-149.899572,-17.54031901,Varari,V17
-149.899906,-17.54019697,Varari,V18
-149.89978,-17.54050802,Varari,V19
-149.900519,-17.53989003,Varari,V2
-149.899509,-17.54045103,Varari,V20
-149.90056,-17.54012598,Varari,V3
-149.900454,-17.54024902,Varari,V4
-149.900336,-17.54025003,Varari,V5
-149.900106,-17.54002498,Varari,V6
-149.899985,-17.54004803,Varari,V7
-149.899896,-17.54014903,Varari,V8
-149.899765,-17.540245,Varari,V9
-149.899331,-17.540302,Varari,VSEEP
-149.912693,-17.517048,Cabral,C1
-149.912912,-17.51588602,Cabral,C10
-149.913194,-17.51598098,Cabral,C11
-149.913303,-17.51595701,Cabral,C12
-149.913136,-17.51557102,Cabral,C13
-149.913031,-17.51652597,Cabral,C14
-149.913056,-17.51721597,Cabral,C15
-149.912976,-17.51723299,Cabral,C16
-149.912771,-17.51721203,Cabral,C17
-149.912982,-17.51757103,Cabral,C18
-149.912893,-17.51770397,Cabral,C19
-149.912949,-17.51706904,Cabral,C2
-149.912724,-17.51692303,Cabral,C20
-149.913111,-17.51697499,Cabral,C3
-149.912772,-17.51679302,Cabral,C4
-149.912877,-17.51659596,Cabral,C5
-149.913134,-17.51653796,Cabral,C6
-149.913229,-17.51630402,Cabral,C7
-149.91291,-17.51632397,Cabral,C8
-149.913111,-17.51639103,Cabral,C9
-149.912515,-17.516384,Cabral,CSEEP
